year,id_reef,protection,latitude,longitude,depth2,trophic_level_f,transect,biomass
1998,110,Not Protected,25.089485,-110.566779,Deep,2-2.5,1,0.1366218757532373
1998,110,Not Protected,25.089485,-110.566779,Deep,2-2.5,2,0.05821991467843199
1998,110,Not Protected,25.089485,-110.566779,Deep,2-2.5,3,0.21423619111209555
1998,110,Not Protected,25.089485,-110.566779,Deep,2-2.5,5,0.05821991467843199
1998,110,Not Protected,25.089485,-110.566779,Deep,2.5-3,1,0.03731606094106079
1998,110,Not Protected,25.089485,-110.566779,Deep,2.5-3,2,0.01552477801739799
1998,110,Not Protected,25.089485,-110.566779,Deep,2.5-3,3,0.04644755914358808
1998,110,Not Protected,25.089485,-110.566779,Deep,2.5-3,4,0.03681254043067082
1998,110,Not Protected,25.089485,-110.566779,Deep,2.5-3,5,0.03162264375915138
1998,110,Not Protected,25.089485,-110.566779,Deep,3-3.5,1,0.32769133408779444
1998,110,Not Protected,25.089485,-110.566779,Deep,3-3.5,2,0.7025616668424933
1998,110,Not Protected,25.089485,-110.566779,Deep,3-3.5,3,0.3406345262177144
1998,110,Not Protected,25.089485,-110.566779,Deep,3-3.5,4,1.1994951269537395
1998,110,Not Protected,25.089485,-110.566779,Deep,3-3.5,5,0.5207959674329004
1998,110,Not Protected,25.089485,-110.566779,Deep,3.5-4,1,0.21614200138559336
1998,110,Not Protected,25.089485,-110.566779,Deep,3.5-4,2,0.11084507386742724
1998,110,Not Protected,25.089485,-110.566779,Deep,3.5-4,3,2.433039443171788
1998,110,Not Protected,25.089485,-110.566779,Deep,3.5-4,4,0.1478641293981052
1998,110,Not Protected,25.089485,-110.566779,Deep,3.5-4,5,0.1415554002287468
1998,110,Not Protected,25.089485,-110.566779,Deep,4-4.5,1,0.6676834555536
1998,110,Not Protected,25.089485,-110.566779,Deep,4-4.5,2,0.14811745508948568
1998,110,Not Protected,25.089485,-110.566779,Deep,4-4.5,3,0.3953795842657216
1998,110,Not Protected,25.089485,-110.566779,Deep,4-4.5,4,0.16306387771924913
1998,110,Not Protected,25.089485,-110.566779,Deep,4-4.5,5,0.12534458074992702
1998,110,Not Protected,25.089485,-110.566779,Shallow,2-2.5,1,0.1982620865526872
1998,110,Not Protected,25.089485,-110.566779,Shallow,2-2.5,2,0.11158280819835814
1998,110,Not Protected,25.089485,-110.566779,Shallow,2-2.5,3,0.15436508130302823
1998,110,Not Protected,25.089485,-110.566779,Shallow,2-2.5,4,0.2208284385467002
1998,110,Not Protected,25.089485,-110.566779,Shallow,2-2.5,5,0.03957644707679955
1998,110,Not Protected,25.089485,-110.566779,Shallow,2.5-3,1,0.06776341575331063
1998,110,Not Protected,25.089485,-110.566779,Shallow,2.5-3,2,0.03588003275520404
